File ./U127_P38_R6707da62c773bad1dc4eead4_S1@100.cc.cc17o2: 232 tokens, 31 lines (not NL-terminated)
./U175_P38_R670550f6c773bad1dc4e366b_S1@100.cc.cc17o2 consists for 18 % of ./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 material
./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 consists for 32 % of ./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 material
./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 consists for 20 % of ./U222_P38_R6705fe6dc773bad1dc4e6519_S1@100.cc.cc17o2 material
./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 consists for 19 % of ./U215_P38_R670625b8c773bad1dc4e83c7_S1@100.cc.cc17o2 material
./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 consists for 8 % of ./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 material
./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 consists for 6 % of ./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 material
./U178_P38_R6703946ec773bad1dc4cbd68_S1@100.cc.cc17o2 consists for 32 % of ./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 material
./U178_P38_R6703946ec773bad1dc4cbd68_S1@100.cc.cc17o2 consists for 13 % of ./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 material
./U178_P38_R6703946ec773bad1dc4cbd68_S1@100.cc.cc17o2 consists for 11 % of ./U183_P38_R6703908bc773bad1dc4ca832_S1@100.cc.cc17o2 material
./U178_P38_R6703946ec773bad1dc4cbd68_S1@100.cc.cc17o2 consists for 10 % of ./U234_P38_R6703987dc773bad1dc4cd253_S1@100.cc.cc17o2 material
./U154_P38_R6703a16cc773bad1dc4cfad2_S1@100.cc.cc17o2 consists for 31 % of ./U218_P38_R670398a3c773bad1dc4cd344_S3@80.cc.cc17o2 material
./U154_P38_R6703a16cc773bad1dc4cfad2_S1@100.cc.cc17o2 consists for 24 % of ./U223_P38_R6707c3c0c773bad1dc4ee6d0_S1@100.cc.cc17o2 material
./U154_P38_R6703a16cc773bad1dc4cfad2_S1@100.cc.cc17o2 consists for 16 % of ./U158_P38_R6703a3f7c773bad1dc4d0522_S1@100.cc.cc17o2 material
./U154_P38_R6703a16cc773bad1dc4cfad2_S1@100.cc.cc17o2 consists for 12 % of ./U200_P38_R67038f70c773bad1dc4ca26d_S1@100.cc.cc17o2 material
./U168_P38_R6708b7f9c773bad1dc4f0b2a_S1@100.cc.cc17o2 consists for 31 % of ./U180_P38_R6703b6c0c773bad1dc4d3488_S1@100.cc.cc17o2 material
./U168_P38_R6708b7f9c773bad1dc4f0b2a_S1@100.cc.cc17o2 consists for 19 % of ./U189_P38_R6703a3aac773bad1dc4d03c4_S1@100.cc.cc17o2 material
./U168_P38_R6708b7f9c773bad1dc4f0b2a_S1@100.cc.cc17o2 consists for 17 % of ./U169_P38_R6708ccc3c773bad1dc4f0ffb_S1@100.cc.cc17o2 material
./U168_P38_R6708b7f9c773bad1dc4f0b2a_S1@100.cc.cc17o2 consists for 16 % of ./U175_P38_R670550f6c773bad1dc4e366b_S1@100.cc.cc17o2 material
./U164_P38_R6708a949c773bad1dc4f05db_S1@100.cc.cc17o2 consists for 31 % of ./U175_P38_R670550f6c773bad1dc4e366b_S1@100.cc.cc17o2 material
./U164_P38_R6708a949c773bad1dc4f05db_S1@100.cc.cc17o2 consists for 21 % of ./U198_P38_R67038ccac773bad1dc4c93ea_S1@100.cc.cc17o2 material
./U164_P38_R6708a949c773bad1dc4f05db_S1@100.cc.cc17o2 consists for 13 % of ./U204_P38_R670396b9c773bad1dc4cc91c_S1@100.cc.cc17o2 material
./U164_P38_R6708a949c773bad1dc4f05db_S1@100.cc.cc17o2 consists for 9 % of ./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 material
./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 consists for 30 % of ./U201_P38_R670387f1c773bad1dc4c7fee_S1@100.cc.cc17o2 material
./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 consists for 26 % of ./U197_P38_R67039f84c773bad1dc4cf290_S1@100.cc.cc17o2 material
./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 consists for 17 % of ./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 material
./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 consists for 14 % of ./U200_P38_R67038f70c773bad1dc4ca26d_S1@100.cc.cc17o2 material
./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 consists for 8 % of ./U199_P38_R6707e399c773bad1dc4eeec6_S1@100.cc.cc17o2 material
./U169_P38_R6708ccc3c773bad1dc4f0ffb_S1@100.cc.cc17o2 consists for 30 % of ./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 material
./U169_P38_R6708ccc3c773bad1dc4f0ffb_S1@100.cc.cc17o2 consists for 25 % of ./U170_P38_R6705ce5ac773bad1dc4e4c7e_S1@100.cc.cc17o2 material
./U169_P38_R6708ccc3c773bad1dc4f0ffb_S1@100.cc.cc17o2 consists for 12 % of ./U220_P38_R670a370fc773bad1dc4f2b66_S1@100.cc.cc17o2 material
./U169_P38_R6708ccc3c773bad1dc4f0ffb_S1@100.cc.cc17o2 consists for 10 % of ./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 material
./U197_P38_R67039f84c773bad1dc4cf290_S1@100.cc.cc17o2 consists for 29 % of ./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 material
./U197_P38_R67039f84c773bad1dc4cf290_S1@100.cc.cc17o2 consists for 16 % of ./U204_P38_R670396b9c773bad1dc4cc91c_S1@100.cc.cc17o2 material
./U197_P38_R67039f84c773bad1dc4cf290_S1@100.cc.cc17o2 consists for 10 % of ./U206_P38_R670893eec773bad1dc4f0256_S1@100.cc.cc17o2 material
./U213_P38_R67060127c773bad1dc4e67c9_S1@100.cc.cc17o2 consists for 28 % of ./U216_P38_R6705f2d2c773bad1dc4e5c0e_S1@100.cc.cc17o2 material
./U213_P38_R67060127c773bad1dc4e67c9_S1@100.cc.cc17o2 consists for 26 % of ./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 material
./U213_P38_R67060127c773bad1dc4e67c9_S1@100.cc.cc17o2 consists for 16 % of ./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 material
./U220_P38_R670a370fc773bad1dc4f2b66_S1@100.cc.cc17o2 consists for 26 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U220_P38_R670a370fc773bad1dc4f2b66_S1@100.cc.cc17o2 consists for 18 % of ./U222_P38_R6705fe6dc773bad1dc4e6519_S1@100.cc.cc17o2 material
./U220_P38_R670a370fc773bad1dc4f2b66_S1@100.cc.cc17o2 consists for 13 % of ./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 material
./U148_P38_R6703e504c773bad1dc4d7d38_S1@100.cc.cc17o2 consists for 23 % of ./U152_P38_R6709fe72c773bad1dc4f2781_S1@100.cc.cc17o2 material
./U148_P38_R6703e504c773bad1dc4d7d38_S1@100.cc.cc17o2 consists for 22 % of ./U149_P38_R67039cbec773bad1dc4ce5db_S1@100.cc.cc17o2 material
./U148_P38_R6703e504c773bad1dc4d7d38_S1@100.cc.cc17o2 consists for 20 % of ./U197_P38_R67039f84c773bad1dc4cf290_S1@100.cc.cc17o2 material
./U148_P38_R6703e504c773bad1dc4d7d38_S1@100.cc.cc17o2 consists for 12 % of ./U169_P38_R6708ccc3c773bad1dc4f0ffb_S1@100.cc.cc17o2 material
./U148_P38_R6703e504c773bad1dc4d7d38_S1@100.cc.cc17o2 consists for 11 % of ./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 material
./U148_P38_R6703e504c773bad1dc4d7d38_S1@100.cc.cc17o2 consists for 8 % of ./U48_P38_R67067826c773bad1dc4ea2ea_S3@80.cc.cc17o2 material
./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 consists for 18 % of ./U150_P38_R6703f535c773bad1dc4d96ec_S1@100.cc.cc17o2 material
./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 consists for 10 % of ./U177_P38_R6708c923c773bad1dc4f0fbf_S3@80.cc.cc17o2 material
./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 consists for 9 % of ./U147_P38_R67039341c773bad1dc4cb792_S1@100.cc.cc17o2 material
./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 consists for 8 % of ./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 material
./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 consists for 7 % of ./U154_P38_R6703a16cc773bad1dc4cfad2_S1@100.cc.cc17o2 material
./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 consists for 7 % of ./U146_P38_R670408cac773bad1dc4da999_S1@100.cc.cc17o2 material
./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 consists for 5 % of ./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 material
./U176_P38_R6703987ec773bad1dc4cd267_S1@100.cc.cc17o2 consists for 14 % of ./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 material
